city,locality,property_type,bhk,area_sqft,bathrooms,balcony,price_inr,price_per_sqft,data_source,record_type
Chennai,Kanathur Reddikuppam,Apartment,4,2583,4,1,19900000,7704.22,India real-estate dataset (uploaded),real_dataset
Chennai,"Ramanathan Nagar, Pozhichalur",House,10,7000,6,1,22500000,3214.29,India real-estate dataset (uploaded),real_dataset
Chennai,"Kasthuribai Nagar, West Tambaram",Apartment,3,1320,3,0,10000000,7575.76,India real-estate dataset (uploaded),real_dataset
Chennai,"Naveenilaya,Chepauk, Triplicane",House,7,4250,5,1,33300000,7835.29,India real-estate dataset (uploaded),real_dataset
Chennai,Avadi,Apartment,2,960,3,1,4800000,5000.0,India real-estate dataset (uploaded),real_dataset
Chennai,Siruseri,Apartment,2,940,3,0,4000000,4255.32,India real-estate dataset (uploaded),real_dataset
Chennai,"THIRAN FLATS ,Gowrivakkam, Sembakkam",Apartment,2,880,3,1,6000000,6818.18,India real-estate dataset (uploaded),real_dataset
Chennai,Mahindra World City,House,3,1700,3,1,7235000,4255.88,India real-estate dataset (uploaded),real_dataset
Chennai,"Brindavan Colony, West Tambaram",Apartment,2,840,3,0,4200000,5000.0,India real-estate dataset (uploaded),real_dataset
Chennai,"New Colony, Chromepet",Apartment,1,535,2,0,3000000,5607.48,India real-estate dataset (uploaded),real_dataset
Chennai,Mahindra World City,Apartment,1,581,2,1,2940000,5060.24,India real-estate dataset (uploaded),real_dataset
Chennai,"Rose Avenue, Pallikaranai",Apartment,3,1444,3,0,13000000,9002.77,India real-estate dataset (uploaded),real_dataset
Chennai,"Ramakrishna Puram, West Mambalam",Villa,6,6000,1,1,85000000,14166.67,India real-estate dataset (uploaded),real_dataset
Chennai,"Deepak home,Mettuppalayam, Ashok Nagar",Apartment,2,878,3,1,11500000,13097.95,India real-estate dataset (uploaded),real_dataset
Chennai,"Chimaera Apartments,Madambakkam",Apartment,2,944,3,0,4900000,5190.68,India real-estate dataset (uploaded),real_dataset
Chennai,Perungalathur,Apartment,3,1317,3,0,5700000,4328.02,India real-estate dataset (uploaded),real_dataset
Chennai,"ARUN EXCELLO ,Padappai",Apartment,2,820,3,0,2500000,3048.78,India real-estate dataset (uploaded),real_dataset
Chennai,"Tirumurthy Nagar, Nungambakkam",Apartment,3,1658,3,1,26000000,15681.54,India real-estate dataset (uploaded),real_dataset
Chennai,Muttukadu,Apartment,4,4200,5,1,29700000,7071.43,India real-estate dataset (uploaded),real_dataset
Chennai,"Ramanathan Nagar, Pozhichalur",House,2,2838,4,1,16200000,5708.25,India real-estate dataset (uploaded),real_dataset
Chennai,Kolapakkam - Vandalur,Villa,3,1566,3,0,10800000,6896.55,India real-estate dataset (uploaded),real_dataset
Chennai,"penta concept enclave,Thiruverkkadu",Apartment,4,2350,4,1,10000000,4255.32,India real-estate dataset (uploaded),real_dataset
Chennai,"MGR Nagar, Ayappakkam",Apartment,2,868,3,1,4000000,4608.29,India real-estate dataset (uploaded),real_dataset
Chennai,"Ultra Amaar Avenue Phase 2,Choolaimedu",Apartment,2,926,3,1,8900000,9611.23,India real-estate dataset (uploaded),real_dataset
Chennai,"Vallalar Kudil,Sarathi Nagar, Saidapet",Apartment,2,1090,3,1,6300000,5779.82,India real-estate dataset (uploaded),real_dataset
Chennai,"Elim Nagar, Perungudi",Apartment,3,1307,3,1,9000000,6886.0,India real-estate dataset (uploaded),real_dataset
Chennai,Senganmal,Apartment,1,605,2,1,2500000,4132.23,India real-estate dataset (uploaded),real_dataset
Chennai,"Vaishnavi Nagar, Thirumullaivoyal",Apartment,2,967,3,1,4950000,5118.92,India real-estate dataset (uploaded),real_dataset
Chennai,"Live Green,Kattur",Apartment,1,586,2,0,2900000,4948.81,India real-estate dataset (uploaded),real_dataset
Chennai,"Tiruvancheri, Selaiyur",Apartment,2,1038,3,0,4500000,4335.26,India real-estate dataset (uploaded),real_dataset
Chennai,Sholinganallur,Apartment,3,1500,3,0,7000000,4666.67,India real-estate dataset (uploaded),real_dataset
Chennai,"Semmanjeri, Semmancheri",Apartment,3,1133,3,1,4600000,4060.02,India real-estate dataset (uploaded),real_dataset
Chennai,"Annamalai Colony, Saligramam",Apartment,2,1100,3,1,8950000,8136.36,India real-estate dataset (uploaded),real_dataset
Chennai,"Vn Nattrunai ,Thirumullaivoyal",Apartment,3,1024,3,0,4500000,4394.53,India real-estate dataset (uploaded),real_dataset
Chennai,"Krishna Nagar, Sriperumbudur",Villa,3,1508,3,1,5400000,3580.9,India real-estate dataset (uploaded),real_dataset
Chennai,Ponmar,Villa,3,1782,3,1,8700000,4882.15,India real-estate dataset (uploaded),real_dataset
Chennai,"Swarnambigai Nagar, Virugambakkam",House,5,2500,4,1,25000000,10000.0,India real-estate dataset (uploaded),real_dataset
Chennai,"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar",Apartment,2,900,3,1,7000000,7777.78,India real-estate dataset (uploaded),real_dataset
Chennai,"Meenakshi Avenue, West Tambaram",Apartment,1,537,2,1,2600000,4841.71,India real-estate dataset (uploaded),real_dataset
Chennai,Kottavakkam,House,2,1292,3,1,9000000,6965.94,India real-estate dataset (uploaded),real_dataset
Chennai,"Arjunamedu, Thiruverkkadu",Apartment,3,1096,3,0,5400000,4927.01,India real-estate dataset (uploaded),real_dataset
Chennai,"Bharathi Nagar, Ayanavaram",House,4,2300,4,1,24000000,10434.78,India real-estate dataset (uploaded),real_dataset
Chennai,"LIVEGREEN CONSTRUCTIONS,Sembakkam",Apartment,1,586,2,0,2900000,4948.81,India real-estate dataset (uploaded),real_dataset
Chennai,"Arulmurugan Nagar, Old Pallavaram",Apartment,2,1112,3,0,9000000,8093.53,India real-estate dataset (uploaded),real_dataset
Chennai,Veppampattu,House,1,560,2,1,2480000,4428.57,India real-estate dataset (uploaded),real_dataset
Chennai,"Shankar Nagar, Pammal",Apartment,2,856,3,1,3700000,4322.43,India real-estate dataset (uploaded),real_dataset
Chennai,"Naveen vanagaram,Kanchuma Puram, Vanagaram",Apartment,2,1079,3,1,6500000,6024.1,India real-estate dataset (uploaded),real_dataset
Chennai,"LAND MARVEL KARPAGAMBAL,Jeth Nagar",Apartment,2,1100,3,1,12000000,10909.09,India real-estate dataset (uploaded),real_dataset
Chennai,Madambakkam,Apartment,3,1432,3,1,5600000,3910.61,India real-estate dataset (uploaded),real_dataset
